talemaade_udtryk	A	B	C	D
kigge nogen i kortene	meddele noget åbent og uden omsvøb; få sandheden på bordet	udsætte nogen for systematisk og gennemgribende overvågning	aflure nogen deres hensigter eller fremgangsmåde	snige sig til at kigge på en modstanders kort under et kortspil
være i ilden	være placeret i åben ild, fx et bål	være i fuld gang med at skabe eller udvikle noget nyt	blive skuffet; føle sig snydt	være på en hård prøve; være i centrum for nærgående opmærksomhed
have brød i ovnen	forberede madret til et måltid den efterfølgende dag	det rene ingenting	være gravid; vente barn	være ved at bage et brød
den åbne dørs politik	internationalt politisk princip om at lade flere stater i et bestemt område have lige vilkår mht. handel og skibsfart	den tilgang at gæster altid er velkomne	politik med det grundprincip at man bør undgå fysiske barrierer, såsom døre, mellem parter involveret i et givent forhold	vanskelig opgave eller situation
i den kolde sne	på et tidspunkt forholdsvis tidligt om morgenen	noget der er yderst let at forstå	i en tilstand af udelukkelse og forladthed	i en (større) bunke sne
og så er den potte ude	og så er der ikke yderligere forhold at tage i betragtning; og så er den sag afgjort	det pågældende væddemål er afsluttet, typisk fordi resultatet af en sportskamp eller lignende foreligger	bruges om urtepotte der et beregnet  til udendørs placering, typisk i en have	være overordentlig glad pga. stor succes
man kan ikke lære en gammel hund nye kunster	det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder	omtale en person eller sag positivt for at yde støtte	en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt	det er svært at ændre indgroede vaner
ikke kunne huske fra næse til mund	stille sig tilfreds med de resultater man har opnået, og opgive videre stræben (indtil videre)	have en meget begrænset viden	have en meget dårlig hukommelse	ikke vide hvordan der ser ud mellem næse og mund
et ord er et ord	et ord er altid et ord	det man med ord har lovet, er man forpligtet til at holde	verdens forskellige sprog vil altid have nogle ord til fælles	en ubetydelighed; meget lidt
kende sine lus på travet	være fattig	genkende sine børn på lang afstand	genkende skadedyr på måden de bevæger sig på	af erfaring være klar over hvem man har med at gøre, eller hvordan noget hænger sammen
lægge sin klamme hånd på noget	nogen får kuldegysninger pga. stærkt ubehag, angst, bange forudanelser eller lignende	snavse noget til der ellers var rent	lægge sin svedige hånd på noget	bemægtige sig noget, fx penge; få magten over noget
tampen brænder	man er tæt ved at nå til en erkendelse	være helt utilstrækkeligt i en bestemt henseende	der er ild i tovet	man er (stadig) forelsket
holde på den forkerte hest	gribe fat om en hest som ikke er den rigtige	den brede danske befolkning; danskere som de er flest	tage et parti eller træffe et valg som man senere fortryder	gøre noget der er så risikofyldt at det grænser til at være dumt
en streg i luften	en kondensstribe på himlen skabt af en flyvemaskine	en meget tynd person	en uventet og uønsket hændelse, handling eller lignende	en bevægelse i klassisk direktion -- om musik
bide i græsset	lide nederlag; give op; give efter	fremgå klart af nogens ansigtsudtryk	spise græs og andre planter der ikke giver næring	sulte i en sådan grad at man handler uovervejet og irrationelt
gammel kærlighed ruster ikke	ældre personers kærlige følelser kan ikke ødelægges	man ødelægger ikke det man holder af	ligne hinanden fuldstændig	én gang opstået kærlighed forgår ikke på trods af adskillelse eller tidens gang
gå til de evige jagtmarker	prøve at behage; optræde føjeligt og eftergivende	dø	gå ud til et meget stort jagtområde	flytte ud af byen; bosætte sig i et naturskønt område
komme på slagtebænken	blive bragt til et slagteri -- om kvæg, svin eller andre slagtedyr	deltage i (hård) fysisk træning	omtrentlig beregning af nogets størrelse, omfang eller antal	blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende
være solgt til stanglakrids	lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden	være ekstremt fascineret af eller forelsket i	være solgt for et (for) lavt beløb, svarende til prisen for et stykke lakrids	have nedsat intelligens
eneste hane i kurven	eneste hankønsvæsen i en gruppe eller forsamling	en kurv med flere høner men kun én hane	være den eneste ud af en gruppe der er syg	alting kan lade sig gøre med de rigtige hjælpemidler eller under de rigtige betingelser
koste blod, sved og tårer	koste mange penge; være dyr	(kræve) stor anstrengelse og offervilje	være så anstrengende at det fremkalder både blod, sved og tårer	blive træt i armene af at bære på noget tungt
rive nogen noget i næsen	gnide noget ind i nogens næsebor	under falske forudsætninger få nogen til at tro på at noget forholder sig på en bestemt måde	med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi	lade nogen høre for noget; kritisere nogen for noget
når solen går ned i en sæk, står den op i en bæk	hvis man går vred i seng, er man trist næste morgen	når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag	bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig	i det tilfælde hvor solen går ned i en sæk vil den næste dag stå op i en bæk
noget er ikke det papir værd det er skrevet på	det er en dårlig forretning at være forlægger	en fysisk tekst er ikke sin produktionsværdi værd	have gode talegaver; kunne tale godt for sig	noget er (næsten) værdiløst, indholdsløst, ubrugeligt eller lignende
få en på frakken	narre; snyde	modtage et mærke eller emblem, ofte for en bestemt bedrift, færdighed eller lignende	få tæv	få komplimenter for ens påklædning
tale samme sprog	have fælles opfattelse af en sag, hvilket gør det lettere at samarbejde og nå til enighed i sagen	have fælles fritidsinteresser; dyrke den samme sport	satse alt på én gang	beherske det samme sprog så man kan tale sammen uden tolk eller lign.
spille på hele klaviaturet	spille på samtlige tangenter på et instrument	udnytte alsidige evner og muligheder	have mange laster på én gang -- fx både ryge og drikke alkohol	jo større ambitioner eller succes man har, desto mere risikerer man at miste
hvem har tisset på din sukkermad	hvem har generet dig ved at urinere på din sukkermad	bruges for at påpege at nogen er (meget) kræsen	hvorfor er du sur; er der nogen der har fornærmet dig	nogen trækker sig ud af et forehavende fordi det er på vej til at mislykkes
have det som blommen i et æg	føle klaustrofobi; føle at man ikke har plads nok	være indelukket på samme måde som en æggeblomme	leve trygt og godt	modsætte sig noget; fastholde sin mening eller lignende
stå med det ene ben i graven	anerkende officielt	stå med den ene fod placeret i en grav, den anden udenfor	være ved at give op	være nær ved at dø
munden står ikke stille på nogen	nogen er dygtig til at skabe kontakter og netværk, især for at fremme egne interesser	nogens mund er altid i bevægelse	yde noget til nogen, men derefter fratage vedkommende dét eller noget andet	nogen snakker hele tiden
lægge et godt ord ind for nogen	blive en fast bestanddel af noget; fastholde en erobret position	omtale en person eller sag positivt for at yde støtte	hjælpe nogen med at skrive en tekst, opgave ellerlign.	hjælpe nogen med at løse en krydsord
gøre rent bord	bestræbe sig på at komme i en ubekymret og afslappet tilstand	rydde op så bordpladen er fri og ren	bringe orden i tingene så man kan begynde på en frisk	tom snak eller tomme løfter
der er ingen smalle steder	her er der kun brede, åbne steder	blive ramt af ubehagelige (selvforskyldte) konsekvenser; opleve livets barske realiteter	der er rigeligt, og der bliver ikke sparet på noget	her er hyggeligt og imødekommende
gå på akkord	synge fællessang med akkompagnement	gå en vis distance alt afhængig af betaling	slække på sine ønsker, krav eller principper	i en tilstand præget af dårligt humør, sorg, depression eller lignende
være vaccineret med en grammofonstift	være blevet stukket med en grammofonstift	være glad for at høre (klassisk) musik på grammofon	være tilbøjelig til at snakke for meget	religion er skadelig fordi den giver folket en falsk følelse af tilfredshed og hindrer sand erkendelse
dansen om guldkalven	nordisk folkedans hvor der danses omkring en kalv smykket med guld	den overdrevne tilbedelse af eller stræben efter rigdom	følge en modestrømning på en uselvstændig måde	det at vente i spænding
der falder en sten fra éns hjerte	en bestemt (kriminel, eftersøgt) person er forsvundet	man bliver fri for en sorg eller bekymring; man bliver lettet	man mister én man har kær	en sten forlader et hjerte man er i besiddelse af
gå ud som et lys	blive slukket eller afbrudt brat	forlade et rum eller en diskussion med ære og personlig værdighed	pludselig miste bevidstheden	det som er vigtigst og betyder mest
krybe langs panelerne	bevæge sig langsomt på alle fire	opføre sig meget tilbageholdende, fx af generthed eller skamfuldhed	give ansvaret for eller ledelsen af en forretning eller et foretagende videre til en efterfølger	bevæge sig langsomt på alle fire i kanten af et rum så kroppen er i kontakt med træpaneler på væggen
tabe både næse og mund	vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv	skælde voldsomt ud; blive meget vred	blive meget forbavset eller benovet over noget	have en lidelse der medfører tab af ansigtshud
ligge lige til højrebenet	bedrage en mand ved at have et seksuelt forhold til hans kone	ligge godt til at sparke med højre ben -- om bold	være nemmere at udføre ved at støtte på højre ben -- om træningsøvelse, yogastilling ellerlign.	være en indlysende og nærliggende mulighed
gaven der bliver ved med at give	bruges som udtryk for noget der ikke kun har en positiv effekt én gang, men fortsætter med at give udbytte	bruges ironisk for at udtrykke at man har modtaget en dårlig gave	en gave som kan gives videre	uforståelige eller forunderlige handlinger eller fænomener
tage pungen frem	fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse	blive årsag til sin egen ulykke	(modvilligt) betale et stort beløb	fremvise sine testikler
træde i karakter	blive synlig; vise sin personlighed for omverdenen	læse noget med dårlig forståelse; udlægge noget til egen fordel uden at der er belæg for det	ændre et skrifttegn i en tekst	opnå en højere karakter i et skolefag end tidligere
villa, Volvo og vovhund	eje villa og en bil af mærket Volvo og holde hund som kæledyr	bruges som symbol på det etablerede og trygge, lidt kedelige liv med fast arbejde og statussymboler	et liv præget af svenske værdier	finde og udpege noget som årsag til en udvikling eller som hovedpunkt i en bestemt sammenhæng
kæden er hoppet af	understrege uenigheden mellem to uforsonlige parter	noget er gået i stykker, men kan repareres igen	en kæde der forbinder to tandhjul, er sprunget af det ene eller begge tandhjul	et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt
